,Calgary market - Total,Calgary market - AM,Calgary market - FM,Edmonton market - Total,Edmonton market - AM,Edmonton market - FM,Grande Prairie market,Halifax market,Hamilton market,Kelowna market,Kingston market,Kitchener-Waterloo market,Lethbridge market,London market,Medicine Hat market,Moncton market,Montreal market - Total,Montreal market - French,Montreal market - English & Ethnic,Montreal market - AM,Montreal market - AM - French,Montreal market - AM - English & Ethnic,Montreal market - FM,Montreal market - FM - French,Montreal market - FM - English & Ethnic,Ottawa-Gatineau market - FM,Ottawa-Gatineau market - FM - English & Ethnic ,Ottawa-Gatineau market - FM - French,Peterborough market,Québec City market - FM,Red Deer market,Regina market,Saint John market,Saskatoon market,St. Catherines-Niagara market,St. John's market,Sudbury market,Timmins market,Toronto market - Total,Toronto market - AM,Toronto market - FM,Vancouver market - Total,Vancouver market - English,Vancouver market - Ethnic,Vancouver market - AM,Vancouver market - FM,Victoria market,Windsor-Chatham market,Winnipeg market - Total,Winnipeg market - AM,Winnipeg market - FM
Market Total Dummy,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0
Reporting Units,20,5,15,19,5,14,5,11,7,7,6,7,6,11,5,7,23,14,9,10,6,4,13,8,5,17,12,5,6,9,7,7,7,8,7,6,7,4,32,13,19,20,15,5,9,11,6,10,15,3,12
Local Time Sales,55378555,12508458,42870097,49489501,13162690,36326811,9885520,13699945,11199989,7293345,3972332,14032399,6597099,15667925,4012229,6858356,72272181,50113867,22158314,10057886,2743010,7314876,62214295,47370857,14843438,42122415,32197813,9924602,5114916,30032182,11008745,21644795,5336620,25005682,7051629,12329185,7284690,1881465,137707633,57721789,79985844,70188375,57308553,12879822,25154776,45033599,10228423,12288701,30116634,8933705,21182929
National Time Sales,32348576,3574510,28774066,28536753,3204079,25332674,2460767,6762500,5599996,1747147,2900706,8050541,2592663,6169942,1881008,2408685,88205077,62738912,25466165,4623035,938627,3684408,83582042,61800285,21781757,19948073,15142052,4806021,2178257,13297156,1988513,3421440,1787316,4123942,4500778,2470580,2848240,1193611,118408313,28723101,89685212,37852732,36714780,1137952,6825214,31027518,5433976,7288288,7289807,923776,6366031
Syndication-Production,193955,1632,192323,165950,71254,94696,0,53811,67633,121881,16374,15978,15472,120012,0,0,778642,400148,378494,207551,0,207551,571091,400148,170943,454100,94743,359357,46269,690582,16628,97518,0,24,69236,0,0,0,638137,576962,61175,735163,673690,61473,339797,395366,41909,533264,202992,23090,179902
Government/Corporate Grants,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,1123,0,1123,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Revenue,679331,264497,414834,1223809,521174,702635,131231,119421,400081,17555,13909,42278,3850,19137,23289,150,716881,654671,62210,113647,67450,46197,603234,587221,16013,1482630,1450508,32122,287651,40580,64019,216976,5400,324679,45794,548,14283,18139,2340933,1186267,1154666,2106561,889021,1217540,1844685,261876,2313,90543,581121,160181,420940
Total Revenue,88600417,16349097,72251320,79416013,16959197,62456816,12477518,20635677,17267699,9179928,6903321,22141196,9209084,21977016,5916526,9267191,161973904,113908721,48065183,15003242,3750210,11253032,146970662,110158511,36812151,64007218,48885116,15122102,7627093,44060500,13077905,25380729,7129336,29454327,11667437,14800313,10147213,3093215,259095016,88208119,170886897,110882831,95586044,15296787,34164472,76718359,15706621,20200796,38190554,10040752,28149802
Programming and Production,29013049,9187304,19825745,26790416,7370453,19419963,3051767,6610731,5654550,3296635,2330747,7292284,2766794,6582693,2218962,2135968,55794222,40649690,15144532,7765693,1633184,6132509,48028529,39016506,9012023,18957444,14217784,4739660,2064472,15474712,4132726,9391017,1681101,11966386,3678418,4195034,2654962,704317,85612578,40458887,45153691,41101747,35087281,6014466,19144195,21957552,5489971,5797790,15161491,5786024,9375467
Technical,2593875,543077,2050798,2411440,648738,1762702,382492,907511,1224821,522844,331133,520584,368031,832495,300465,346762,6087679,4943393,1144286,798279,509862,288417,5289400,4433531,855869,1967864,1514409,453455,242332,1263044,520802,962446,244217,963589,284713,860455,406160,135904,7121727,2713573,4408154,3312049,2657274,654775,1234980,2077069,745161,813547,1465321,384419,1080902
